"","Zone","Population","Violent","Property","ViolentCapta","PropertyCapta","move5yPct","renterPct","assisPct","MedIncome","nonwhitePct"
"1",1,366732,11.3548387096774,17.6774193548387,3.09622250299331e-05,4.82025548761458e-05,0.0408524964590548,0.397853927668315,0.0219946459425588,5770065,0.24898290849994
"2",2,214588,6.83870967741935,19.4838709677419,3.1869021927691e-05,9.07966473788932e-05,0.0844275210084034,0.603925945378151,0.0182698079231693,6854566,0.183253490409529
"3",3,244506,15.1612903225806,31.3548387096774,6.20078457075926e-05,0.000128237502186766,0.0796353713285277,0.630784127698282,0.02581156287595,6856178,0.332090010061103
"4",4,238990,14.1290322580645,58,5.9119763412965e-05,0.000242687978576509,0.0931374754427798,0.55913228655839,0.00845068310313283,4861491,0.323657893635717
"5",5,96828,9.61290322580645,11.6129032258065,9.92781346904454e-05,0.000119933317075706,0.0638048692597014,0.733226729127722,0.0348866016531159,NA,0.792508365348866
"6",6,308348,28.8064516129032,25.741935483871,9.34218857035013e-05,8.34833872244054e-05,0.0202624269308901,0.400035239003358,0.0460698146843,NA,0.610965532450348
"7",7,73345,11.6451612903226,10.1935483870968,0.000158772394714331,0.000138980821966007,0.0633625713058946,0.763755137091333,0.0559406244249525,860755,0.93109278069398
"8",8,209605,28.5806451612903,26.8064516129032,0.000136354787153409,0.000127890325196933,0.0399715024935318,0.536990513330084,0.0484457609959129,2370505,0.801374013024499
"9",9,180179,16.6129032258065,16.5483870967742,9.2202216827746e-05,9.1844149966279e-05,0.0276296960261672,0.350096711798839,0.0429777798745105,3030998,0.753656086447366
"10",10,180219,28.8064516129032,17.7741935483871,0.000159841368628742,9.86255253241173e-05,0.0355926659868788,0.685053004213402,0.0549281412932643,1954357,0.738357220936749
"11",11,241371,9.03225806451613,15.741935483871,3.74206431779962e-05,6.52188352530792e-05,0.0654405516540832,0.636961214264087,0.0346541906371175,2831161,0.385559988565321
"12",12,251389,20.5806451612903,18.6774193548387,8.18677235729898e-05,7.42968839322274e-05,0.0386514623157788,0.547725710794919,0.0441494641993535,2615121,0.602456750295359
"13",13,161630,9.19354838709677,10.0645161290323,5.68802102771563e-05,6.22688617770974e-05,0.0318267888223706,0.559321385536408,0.0459805290438575,2006968,0.551797314854916
